busIndex;Pg;Qg;Vg;Pmin;Pmax;Qmin;Qmax
1271;31.83;0;1.04;0;50;-3000;3000
1274;51.68;0;1.04;0;384;-3000;3000
1274;73.84;0;1.04;0;116;-3000;3000
1275;206.71;0;1.04;0;500;-3000;3000
1280;500;0;1.04;0;700;-3000;3000
1281;116.41;0;1.04;0;120;-3000;3000
1285;700;0;1;0;700;-9900;9900
1289;351.5;0;1.04;0;500;-3000;3000
1290;967.58;0;1.04;0;1450;-3000;3000
1296;1401.61;0;1.04;0;3728;-3000;3000
1307;0;0;1.04;0;250;-3000;3000
1308;0;0;1.04;0;600;-3000;3000
1309;81;0;1.04;0;500;-3000;3000
1311;214.59;0;1.04;0;600;-3000;3000
1312;6.37;0;1;0;10;-3000;3000
1312;211.33;0;1;0;332;-3000;3000
1312;79.58;0;1;0;210;-9900;9900
1313;44.44;0;1.04;0;395;-3000;3000
1313;12.09;0;1.04;0;19;-3000;3000
1314;51.68;0;1.04;0;330;-3000;3000
1316;630;0;1.04;0;630;-3000;3000
1317;94.89;0;1.04;0;130;-3000;3000
1321;256.82;0;1.04;0;375;-3000;3000
1322;141.11;0;1.04;0;240;-3000;3000
1324;125;0;1.04;0;125;-3000;3000
1325;46.01;0;1.04;0;160;-3000;3000
1326;23;0;1.04;0;80;-3000;3000
1327;17.25;0;1.04;0;60;-3000;3000
1329;453.18;0;1.04;0;500;-3000;3000
1335;650.05;0;1.04;0;1260;-3000;3000
1342;565.99;0;1.04;0;864;-3000;3000
1345;119.1;0;1.04;0;210;-3000;3000
1346;162.21;0;1.04;0;342;-3000;3000
1347;174.69;0;1.04;0;308;-3000;3000
1351;569.9;0;1.04;0;579;-3000;3000
1352;18.04;0;1.04;0;72;-3000;3000
1355;75.16;0;1.04;0;300;-3000;3000
1357;82.01;0;1.04;0;210;-3000;3000
1358;10.24;0;1.04;0;440;-3000;3000
1360;473.08;0;1.04;0;630;-3000;3000
1361;28.56;0;1.04;0;114;-3000;3000
1362;135.17;0;1.04;0;180;-3000;3000
1363;40.09;0;1.04;0;160;-3000;3000
1364;324.27;0;1.04;0;578;-3000;3000
1366;302.63;0;1.04;0;750;-3000;3000
1371;20;0;1.04;0;315;-3000;3000
1373;537.71;0;1.04;0;800;-3000;3000
1374;429.5;0;1.04;0;800;-3000;3000
1377;544.06;0;1.04;0;1500;-3000;3000
1380;98.2;0;1.04;0;125;-3000;3000
1380;1296.28;0;1.04;0;1650;-3000;3000
1383;176.77;0;1.04;0;225;-3000;3000
1383;228.49;0;1.04;0;698;-3000;3000
1385;918.52;0;1.04;0;1400;-3000;3000
1387;245.34;0;1.04;0;100;-3000;3000
1396;181.53;0;1.04;0;200;-3000;3000
1397;500;0;1.04;0;500;-3000;3000
1400;29.1;0;1.04;0;102;-3000;3000
1402;26.25;0;1.04;0;92;-3000;3000
1403;77.03;0;1.04;0;270;-3000;3000
1409;103.85;0;1;0;364;-3000;3000
1410;482.37;0;1.04;0;614;-3000;3000
1412;320.36;0;1.04;0;1170;-3000;3000
1414;943.09;0;1.04;0;1320;-3000;3000
1418;474.76;0;1.04;0;1150;-3000;3000
1424;1148.2;0;1.04;0;1310;-3000;3000
1436;168.61;0;1.04;0;1300;-3000;3000
1443;798.05;0;1.04;0;960;-3000;3000
1449;119.3;0;1.04;0;490;-3000;3000
1452;40.17;0;1.04;0;165;-3000;3000
1455;206.95;0;1.04;0;650;-3000;3000
1456;354.94;0;1.04;0;630;-3000;3000
1460;128.14;0;1.04;0;200;-3000;3000
1466;36.52;0;1.04;0;150;-3000;3000
1469;24.35;0;1.04;0;100;-3000;3000
1470;777.8;0;1.04;0;910;-3000;3000
1471;512.55;0;1.04;0;800;-3000;3000
1474;48.69;0;1.04;0;200;-3000;3000
1475;495.63;0;1.04;0;1260;-3000;3000
1477;322.26;0;1.04;0;655;-3000;3000
1478;65.74;0;1.04;0;270;-3000;3000
1479;24.35;0;1.04;0;100;-3000;3000
1482;92.52;0;1.04;0;380;-3000;3000
1488;416.33;0;1.04;0;750;-3000;3000
1494;160.69;0;1.04;0;580;-3000;3000
1500;223;0;1.04;0;1108;-3000;3000
1502;199;0;1;0;1000;-9900;9900
1505;360;0;1;0;1000;-9900;9900
1509;700;0;1;0;1000;-9900;9900
1510;202;0;1.04;0;1000;-9900;9900
1512;33;0;1;0;1000;-9900;9900
1514;306;0;1;0;1000;-9900;9900
