index;baseKv;Vm;Va;Pd;Qd;type;c;deletable
105;115;1.0223;49.6;0;-12.94;1;415;1
107;115;1.0095;4.6;0;-16.03;1;855;1
108;115;0.99;112.1;0;-20.26;2;95;1
109;115;0.9749;30.7;0;-26.06;1;115;1
110;115;0.973;63;0;-24.72;1;185;1
112;115;0.9725;19.6;0;-28.69;1;130;1
113;115;0.97;26.2;0;-25.38;1;5;1
114;115;0.9747;18.2;0;-28.59;1;245;1
115;115;0.9603;0;0;-13.57;1;365;1
116;115;1.0249;0;0;-12.69;1;160;1
117;115;0.9348;0;0;-4.72;1;630;1
118;115;0.9298;14.1;650;-4.12;1;1365;1
119;115;1.0435;0;0;5.17;2;5;1
120;115;0.9584;777;215;-8.77;1;540;1
121;115;0.9871;535;55;-12.64;1;465;1
122;115;0.9728;229.1;11.8;-14.36;1;380;1
123;115;1.0006;78;1.4;-17.64;1;195;1
124;115;1.0233;276.4;59.3;-13.49;2;155;1
125;115;1.0103;514.8;82.7;-18.43;2;260;1
126;115;0.9978;57.9;5.1;-12.86;1;1200;1
127;230;1.0001;380.8;37;-10.52;1;775;1
128;230;1.0024;0;0;-4.78;1;1035;1
129;230;1.0028;0;0;-4.4;1;1090;1
130;230;1.0191;0;0;5.56;1;6430;1
131;230;0.9861;0;0;6.06;1;2530;1
132;230;1.0045;0;0;3.04;1;590;1
133;230;1.002;0;0;-5.46;1;3475;1
134;230;1.022;0;0;-8.04;1;555;1
135;230;1.0193;169.2;41.6;-6.76;1;385;1
136;230;1.0476;55.2;18.2;1.54;1;625;1
137;230;1.0471;273.6;99.8;-1.45;1;3545;1
138;230;1.055;1019.2;135.2;-6.35;2;170;1
139;115;1.0117;595;83.3;-3.57;1;815;1
140;230;1.043;387.7;114.7;-3.44;1;805;1
141;230;1.051;145;58;0.05;2;5;1
142;230;1.0155;56.5;24.5;-2.77;1;495;1
143;230;1.0435;89.5;35.5;4.03;2;1140;1
144;230;1.016;0;0;-0.7;1;2105;1
145;230;1.0081;24;14;-0.16;1;655;1
146;230;1.0528;0;0;4.32;2;400;1
147;230;1.0528;0;0;8.36;2;5;1
148;230;1.0577;63;25;0.28;1;150;1
149;230;1.0735;0;0;5.23;2;80;1
150;230;0.9869;0;0;6.34;1;3440;1
151;230;1.0048;0;0;4.13;1;85;1
152;230;1.0535;17;9;9.24;2;155;1
153;230;1.0435;0;0;10.46;2;5;1
154;115;0.9663;70;5;-1.8;1;15;1
155;230;1.0177;200;50;6.75;1;125;1
156;115;0.963;75;50;5.15;2;65;1
157;230;0.9845;123.5;-24.3;-11.93;1;555;1
158;230;0.9987;0;0;-11.4;1;500;1
159;230;0.9867;33;16.5;-9.82;1;660;1
160;230;0.9998;0;0;-12.55;1;230;1
161;230;1.036;35;15;8.85;1;80;1
162;230;0.9918;85;24;18.5;1;710;1
163;230;1.041;0;0.4;2.91;1;610;1
164;230;0.9839;0;0;9.66;1;625;1
165;230;1.0002;0;0;26.31;1;645;1
166;230;0.9973;0;0;30.22;1;715;1
167;230;0.9715;299.9;95.7;-6.91;1;905;1
168;230;1.0024;0;0;-4.8;1;985;1
169;230;0.9879;0;0;-6.68;1;965;1
170;115;0.929;481.8;205;0.09;2;85;1
171;115;0.9829;763.6;291.1;-9.94;2;340;1
172;115;1.0244;26.5;0;-6.22;1;55;1
173;115;0.9837;163.5;43;-12.75;1;150;1
174;115;1.0622;0;0;-2.69;1;85;1
175;115;0.973;176;83;-7.21;1;175;1
176;115;1.0522;5;4;4.67;2;5;1
177;115;1.0077;28;12;0.62;2;180;1
178;115;0.9397;427.4;173.6;-6.56;1;360;1
179;115;0.9699;74;29;-9.37;1;65;1
180;115;0.9793;69.5;49.3;-3.09;1;170;1
181;230;1.0518;73.4;0;-1.33;1;815;1
182;230;1.0447;240.7;89;-4.19;1;730;1
183;115;0.9717;40;4;7.12;1;20;1
184;230;1.0386;136.8;16.6;-6.85;1;250;1
185;230;1.0522;0;0;-4.33;2;5;1
186;230;1.065;59.8;24.3;2.17;2;5;1
187;230;1.065;59.8;24.3;1.4;2;5;1
188;230;1.0533;182.6;43.6;-0.72;1;1375;1
189;66;0.9975;7;2;-25.84;1;120;1
190;345;1.0551;0;0;-20.62;2;205;1
191;230;1.0435;489;53;12.25;2;5;1
192;230;0.9374;800;72;-11.18;1;1280;1
193;66;0.9897;0;0;-26.09;1;75;1
194;345;1.0489;0;0;-19.21;1;2060;1
195;345;1.0357;0;0;-20.79;1;1915;1
196;115;0.9695;10;3;-25.32;1;180;1
197;115;0.9907;43;14;-23.72;1;145;1
198;115;1.015;64;21;-20.58;2;5;1
199;115;0.9528;35;12;-26.05;1;40;1
200;115;0.955;27;12;-25.93;1;105;1
201;66;0.9692;41;14;-27.49;1;50;1
202;66;0.9908;38;13;-25.33;1;20;1
203;115;1.0033;42;14;-22.35;1;110;1
204;66;0.9718;72;24;-25.7;1;100;1
205;66;0.9838;0;-5;-26.07;1;95;1
206;66;0.9992;12;2;-27.41;1;220;1
207;66;1.0137;-21;-14.2;-27.44;1;220;1
208;66;0.9929;7;2;-26.28;1;130;1
209;66;0.9999;38;13;-25.66;1;75;1
210;115;0.9788;0;0;-24.22;1;150;1
211;115;1.0017;96;7;-23.31;1;770;1
212;138;1.0132;0;0;-22.51;1;565;1
213;16.5;1.01;0;0;-11.67;2;5;1
214;138;0.9919;22;16;-17.53;1;420;1
215;138;0.9866;47;26;-20.23;1;595;1
216;138;0.9751;176;105;-22.53;1;320;1
217;138;1.0215;100;75;-22.2;1;650;1
218;138;1.0075;131;96;-22.63;1;425;1
219;345;1.0554;0;0;-21.15;1;4120;1
220;138;1.008;285;100;-21.73;2;1015;1
221;138;1;171;70;-22.49;2;170;1
222;20;1.05;328;188;-23.17;2;5;1
223;138;0.9965;428;232;-22.7;1;460;1
224;230;1.0002;173;99;-21.55;1;2120;1
225;230;0.9453;410;40;-11.34;1;2275;1
226;230;1.018;0;0;-21.61;1;1560;1
227;27;1;538;369;-27.22;2;85;1
228;138;1.0423;223;148;-20.94;1;310;1
229;138;1.0496;96;46;-19.94;1;435;1
230;20;1.04;0;0;-13.82;2;5;1
231;345;1.0535;159;107;-21.22;1;2665;1
232;138;1.0414;448;143;-23.19;1;190;1
233;66;1;404;212;-25.9;2;5;1
234;138;1.0387;572;244;-20.89;1;980;1
235;138;1.0095;269;157;-21.03;1;425;1
236;20;1.0165;0;0;-15.4;2;5;1
237;345;1.0558;0;0;-21.1;1;3440;1
238;138;1.01;255;149;-20.94;2;690;1
239;138;1;0;0;-15.86;2;5;1
240;230;1.0237;0;0;-20.14;1;40;1
241;20;1.05;0;0;-16.5;2;5;1
242;138;0.993;0;0;-17.53;2;5;1
243;66;1.01;8;3;-19.27;2;5;1
244;66;0.9921;0;0;-20.21;1;70;1
245;66;0.9711;61;30;-20.9;1;65;1
246;66;0.9651;77;33;-21.74;1;80;1
247;66;0.9688;61;30;-21.67;1;155;1
248;66;0.976;29;14;-25.23;1;115;1
249;66;0.9752;29;14;-25.65;1;25;1
250;66;1.0196;-23;-17;-23.8;1;5;1
281;230;1.0251;-33.1;-29.4;-20.06;1;5;1
319;230;1.0152;115.8;-24;1.48;1;5;1
320;115;1.0146;2.4;-12.6;-2.23;1;5;1
322;115;1.0005;2.4;-3.9;-17.61;1;5;1
323;230;0.981;-14.9;26.5;-13.69;1;35;1
324;115;0.975;24.7;-1.2;-23.42;1;5;1
526;115;0.9429;145.3;-34.9;-34.31;1;5;1
528;115;0.9723;28.1;-20.5;-37.58;1;5;1
531;115;0.9604;14;2.5;-29.1;1;5;1
552;115;1.0009;-11.1;-1.4;-23.36;1;5;1
562;230;0.9777;50.5;17.4;-28;1;25;1
609;115;0.9583;29.6;0.6;-28.79;1;5;1
664;345;1.0309;-113.7;76.7;-17;1;90;1
1190;86;1.0128;100.31;29.17;3.9;1;40;1
1200;86;1.0244;-100;34.17;-7.52;1;45;1
1201;115;1.0122;0;0;-15.18;1;70;1
2040;115;0.9653;0;0;-14.94;1;105;1
7001;13.8;1.0507;0;0;10.79;2;5;1
7002;13.8;1.0507;0;0;12.48;2;5;1
7003;13.8;1.0323;0;0;13.76;2;5;1
7011;13.8;1.0145;0;0;4.99;2;5;1
7012;13.8;1.0507;0;0;11.57;2;5;1
7017;13.8;1.0507;0;0;-10.47;2;5;1
7023;13.8;1.0507;0;0;6.15;2;5;1
7024;13.8;1.029;0;0;12.6;2;5;1
7039;20;1.05;0;0;2.11;2;5;1
7044;13.8;1.0145;0;0;-13.92;2;5;1
7049;13.8;1.0507;0;0;0;3;18050;0
7055;13.8;0.9967;0;0;-7.5;2;5;1
7057;13.8;1.0212;0;0;-3.44;2;5;1
7061;13.8;1.0145;0;0;1.97;2;5;1
7062;13.8;1.0017;0;0;5.8;2;5;1
7071;13.8;0.9893;0;0;-25.35;2;5;1
7130;13.8;1.0507;0;0;19.02;2;5;1
7139;13.8;1.0507;0;0;2.75;2;5;1
7166;13.8;1.0145;0;0;35.05;2;5;1
9001;115;1.0117;0;0;-11.25;1;45;1
9002;6.6;0.9945;4.2;0;-18.86;2;5;1
9003;6.6;0.9833;2.71;0.94;-19.68;1;10;1
9004;6.6;0.9768;0.86;0.28;-19.82;1;5;1
9005;115;1.0117;0;0;-11.32;1;80;1
9006;6.6;1.0029;0;0;-17.42;1;15;1
9007;6.6;0.9913;0;0;-18.69;1;5;1
9012;6.6;1.0023;0;0;-17.27;1;5;1
9021;6.6;0.9887;4.75;1.56;-19.09;1;5;1
9022;0.6;0.9648;1.53;0.53;-21.67;1;5;1
9023;6.6;0.9747;0;0;-19.41;1;5;1
9024;0.6;0.9706;1.35;0.47;-21.43;1;5;1
9025;0.6;0.9649;0.45;0.16;-20.48;1;5;1
9026;0.6;0.9657;0.45;0.16;-20.39;1;5;1
9031;0.6;0.9318;1.84;0.64;-25.03;1;5;1
9032;0.6;0.9441;1.39;0.48;-23.84;1;5;1
9033;0.6;0.9286;1.89;0.65;-25.33;1;5;1
9034;0.6;0.9973;1.55;0.54;-21.1;1;5;1
9035;0.6;0.9506;1.66;0.58;-23.19;1;5;1
9036;2.3;0.9598;3.03;1;-22.67;1;5;1
9037;0.6;0.957;1.86;0.64;-22.58;1;5;1
9038;0.6;0.9391;2.58;0.89;-24.41;1;5;1
9041;0.6;0.9636;1.01;0.35;-21.33;1;5;1
9042;0.6;0.9501;0.81;0.28;-22.5;1;5;1
9043;2.3;0.9646;1.6;0.52;-21.42;1;5;1
9044;6.6;0.979;0;0;-19.78;1;5;1
9051;13.8;1;35.81;0;-19.4;2;5;1
9052;13.8;0.9786;30;23;-17.25;1;30;1
9053;13.8;1;26.48;0;-17.68;2;5;1
9054;13.8;1;0;0;-6.83;2;5;1
9055;13.8;1;0;0;-7.54;2;5;1
9071;0.6;0.9752;1.02;0.35;-20.48;1;5;1
9072;0.6;0.9803;1.02;0.35;-19.92;1;5;1
9121;6.6;0.9799;3.8;1.25;-19.3;1;5;1
9533;2.3;1.0402;1.19;0.41;-18.24;1;5;1
