fromBus;toBus;r;x;b;c;deletable
71;72;0.036;0.131;0.068;55;1
71;73;0.034;0.099;0.047;160;1
72;77;0.018;0.087;0.011;90;1
72;531;0.0256;0.193;0;5;1
73;76;0.021;0.057;0.03;330;1
73;79;0.018;0.052;0.018;545;1
74;88;0.004;0.027;0.05;965;1
74;562;0.0286;0.2013;0.379;25;1
76;77;0.016;0.043;0.004;235;1
77;78;0.001;0.006;0.007;285;1
77;80;0.014;0.07;0.038;330;1
77;552;0.0891;0.2676;0.029;5;1
77;609;0.0782;0.2127;0.022;5;1
78;79;0.006;0.022;0.011;175;1
78;84;0;0.036;0;405;1
79;211;0.099;0.375;0.051;180;1
80;211;0.022;0.107;0.058;340;1
81;194;0.0035;0.033;0.53;1820;1
81;195;0.0035;0.033;0.53;1850;1
85;86;0.008;0.064;0.128;305;1
86;87;0.012;0.093;0.183;705;1
86;323;0.006;0.048;0.092;35;1
89;91;0.047;0.119;0.014;640;1
90;92;0.032;0.174;0.024;730;1
91;94;0.1;0.253;0.031;360;1
91;97;0.022;0.077;0.039;125;1
92;103;0.019;0.144;0.017;195;1
92;105;0.017;0.092;0.012;140;1
94;97;0.278;0.427;0.043;175;1
97;100;0.022;0.053;0.007;205;1
97;102;0.038;0.092;0.012;155;1
97;103;0.048;0.122;0.015;385;1
98;100;0.024;0.064;0.007;85;1
98;102;0.034;0.121;0.015;5;1
99;107;0.053;0.135;0.017;565;1
99;108;0.002;0.004;0.002;225;1
99;109;0.045;0.354;0.044;45;1
99;110;0.05;0.174;0.022;20;1
100;102;0.016;0.038;0.004;115;1
102;104;0.043;0.064;0.027;85;1
103;105;0.019;0.062;0.008;225;1
104;108;0.076;0.13;0.044;100;1
104;322;0.044;0.124;0.015;5;1
105;107;0.012;0.088;0.011;245;1
105;110;0.157;0.4;0.047;175;1
108;324;0.074;0.208;0.026;5;1
109;110;0.07;0.184;0.021;60;1
109;113;0.1;0.274;0.031;5;1
109;114;0.109;0.393;0.036;115;1
110;112;0.142;0.404;0.05;130;1
112;114;0.017;0.042;0.006;130;1
115;122;0.0036;0.0199;0.004;355;1
116;120;0.002;0.1049;0.001;145;1
117;118;0.0001;0.0018;0.017;660;1
118;119;0;0.0271;0;1335;1
118;1201;0;0.6163;0;70;1
1201;120;0;-0.3697;0;70;1
118;121;0.0022;0.2915;0;30;1
119;120;0;0.0339;0;490;1
119;121;0;0.0582;0;490;1
122;123;0.0808;0.2344;0.029;30;1
122;125;0.0965;0.3669;0.054;90;1
123;124;0.036;0.1076;0.117;155;1
123;125;0.0476;0.1414;0.149;195;1
125;126;0.0006;0.0197;0;160;1
126;127;0.0059;0.0405;0.25;185;1
126;129;0.0115;0.1106;0.185;265;1
126;132;0.0198;0.1688;0.321;565;1
126;157;0.005;0.05;0.33;590;1
126;158;0.0077;0.0538;0.335;450;1
126;169;0.0165;0.1157;0.171;245;1
127;128;0.0059;0.0577;0.095;325;1
127;134;0.0049;0.0336;0.208;550;1
127;168;0.0059;0.0577;0.095;325;1
128;130;0.0078;0.0773;0.126;1110;1
128;133;0.0026;0.0193;0.03;650;1
129;130;0.0076;0.0752;0.122;1130;1
129;133;0.0021;0.0186;0.03;760;1
130;132;0.0016;0.0164;0.026;470;1
130;151;0.0017;0.0165;0.026;90;1
130;167;0.0079;0.0793;0.127;815;1
130;168;0.0078;0.0784;0.125;985;1
133;137;0.0017;0.0117;0.289;2995;1
133;168;0.0026;0.0193;0.03;645;1
133;169;0.0021;0.0186;0.03;755;1
133;171;0.0002;0.0101;0;335;1
134;135;0.0043;0.0293;0.18;320;1
134;184;0.0039;0.0381;0.258;210;1
135;136;0.0091;0.0623;0.385;395;1
136;137;0.0125;0.089;0.54;225;1
136;152;0.0056;0.039;0.953;640;1
137;140;0.0015;0.0114;0.284;75;1
137;181;0.0005;0.0034;0.021;745;1
137;186;0.0007;0.0151;0.126;740;1
137;188;0.0005;0.0034;0.021;1075;1
139;172;0.0562;0.2248;0.081;50;1
140;141;0.012;0.0836;0.123;95;1
140;142;0.0152;0.1132;0.684;450;1
140;145;0.0468;0.3369;0.519;130;1
140;146;0.043;0.3031;0.463;50;1
140;147;0.0489;0.3492;0.538;5;1
140;182;0.0013;0.0089;0.119;590;1
141;146;0.0291;0.2267;0.342;100;1
142;143;0.006;0.057;0.767;475;1
143;145;0.0075;0.0773;0.119;400;1
143;149;0.0127;0.0909;0.135;210;1
145;146;0.0085;0.0588;0.087;490;1
145;149;0.0218;0.1511;0.223;85;1
146;147;0.0073;0.0504;0.074;290;1
148;178;0.0523;0.1526;0.074;130;1
148;179;0.1371;0.3919;0.076;30;1
152;153;0.0137;0.0957;0.141;165;1
153;161;0.0055;0.0288;0.19;75;1
154;156;0.1746;0.3161;0.04;10;1
154;183;0.0804;0.3054;0.045;15;1
155;161;0.011;0.0568;0.388;70;1
157;159;0.0008;0.0098;0.069;350;1
158;159;0.0029;0.0285;0.19;285;1
158;160;0.0066;0.0448;0.277;230;1
162;164;0.0024;0.0326;0.236;635;1
162;165;0.0018;0.0245;1.662;625;1
163;164;0.0044;0.0514;3.597;560;1
165;166;0.0002;0.0123;0;660;1
167;169;0.0018;0.0178;0.029;915;1
172;173;0.0669;0.4843;0.063;55;1
172;174;0.0558;0.221;0.031;5;1
173;174;0.0807;0.3331;0.049;70;1
173;175;0.0739;0.3071;0.043;80;1
173;176;0.1799;0.5017;0.069;15;1
175;176;0.0904;0.3626;0.048;90;1
175;179;0.077;0.3092;0.054;35;1
176;177;0.0251;0.0829;0.047;165;1
177;178;0.0222;0.0847;0.05;260;1
178;179;0.0498;0.1855;0.029;40;1
178;180;0.0061;0.029;0.084;110;1
181;138;0.0004;0.0202;0;50;1
181;187;0.0004;0.0083;0.115;750;1
184;185;0.0025;0.0245;0.164;240;1
186;188;0.0007;0.0086;0.115;775;1
187;188;0.0007;0.0086;0.115;640;1
188;138;0.0004;0.0202;0;125;1
189;208;0.033;0.095;0;125;1
189;209;0.046;0.069;0;60;1
190;231;0.0004;0.0022;6.2;750;1
190;240;0;0.0275;0;40;1
191;192;0.003;0.048;0;1140;1
192;225;0.002;0.009;0;1190;1
193;205;0.045;0.063;0;75;1
193;208;0.048;0.127;0;5;1
194;219;0.0031;0.0286;0.5;2195;1
194;664;0.0024;0.0355;0.36;90;1
195;219;0.0031;0.0286;0.5;2130;1
196;197;0.014;0.04;0.004;100;1
196;210;0.03;0.081;0.01;90;1
197;198;0.01;0.06;0.009;155;1
197;211;0.015;0.04;0.006;30;1
198;202;0.332;0.688;0;15;1
198;203;0.009;0.046;0.025;110;1
198;210;0.02;0.073;0.008;75;1
198;211;0.034;0.109;0.032;90;1
199;200;0.076;0.135;0.009;40;1
199;210;0.04;0.102;0.005;25;1
200;210;0.081;0.128;0.014;60;1
201;204;0.124;0.183;0;55;1
203;211;0.01;0.059;0.008;90;1
204;205;0.046;0.068;0;20;1
205;206;0.302;0.446;0;95;1
206;207;0.073;0.093;0;220;1
206;208;0.24;0.421;0;120;1
212;215;0.0139;0.0778;0.086;540;1
213;214;0.0025;0.038;0;320;1
214;215;0.0017;0.0185;0.02;365;1
214;242;0.0015;0.0108;0.002;75;1
215;216;0.0045;0.0249;0.026;180;1
216;217;0.004;0.0497;0.018;310;1
217;218;0;0.0456;0;70;1
217;219;0.0005;0.0177;0.02;235;1
217;220;0.0027;0.0395;0.832;550;1
219;237;0.0003;0.0018;5.2;3440;1
220;218;0.0037;0.0484;0.43;410;1
220;221;0.001;0.0295;0.503;685;1
220;238;0.0016;0.0046;0.402;350;1
221;223;0.0003;0.0013;1;185;1
222;237;0.0014;0.0514;0.33;80;1
224;225;0.01;0.064;0.48;2245;1
224;226;0.0019;0.0081;0.86;1735;1
225;191;0.001;0.061;0;1145;1
226;231;0.0005;0.0212;0;1695;1
227;231;0.0009;0.0472;0.186;80;1
228;229;0.0019;0.0087;1.28;180;1
228;231;0.0026;0.0917;0;120;1
228;234;0.0013;0.0288;0.81;120;1
229;190;0;0.0626;0;165;1
231;232;0.0002;0.0069;1.364;65;1
231;237;0.0001;0.0006;3.57;2130;1
232;233;0.0017;0.0485;0;100;1
234;235;0.0002;0.0259;0.144;270;1
234;237;0.0006;0.0272;0;595;1
235;238;0.0002;0.0006;0.8;425;1
241;237;0.0005;0.0154;0;685;1
240;281;0.0003;0.0043;0.009;35;1
242;245;0.0082;0.0851;0;35;1
242;247;0.0112;0.0723;0;95;1
243;244;0.0127;0.0355;0;70;1
243;245;0.0326;0.1804;0;35;1
244;246;0.0195;0.0551;0;70;1
245;246;0.0157;0.0732;0;10;1
245;247;0.036;0.2119;0;20;1
246;247;0.0268;0.1285;0;35;1
247;248;0.0428;0.1215;0;110;1
248;249;0.0351;0.1004;0;5;1
249;250;0.0616;0.1857;0;25;1
3;1;0;0.052;0;135;1
3;2;0;0.052;0;180;1
3;4;0;0.005;0;6280;1
7;5;0;0.039;0;40;1
7;6;0;0.039;0;335;1
10;11;0;0.089;0;75;1
12;10;0;0.053;0;120;1
15;17;0.0194;0.0311;0;135;1
16;15;0.001;0.038;0;840;1
21;20;0;0.014;0;70;1
24;23;0;0.064;0;10;1
36;35;0;0.047;0;80;1
45;44;0;0.02;0;1795;1
45;46;0;0.021;0;880;1
62;61;0;0.059;0;720;1
63;64;0;0.038;0;215;1
73;74;0;0.0244;0;370;1
81;88;0;0.02;0;785;1
85;99;0;0.048;0;305;1
86;102;0;0.048;0;340;1
87;94;0;0.046;0;520;1
114;207;0;0.149;0;215;1
116;124;0.0052;0.0174;0;155;1
121;115;0;0.028;0;400;1
122;157;0.0005;0.0195;0;235;1
130;131;0;0.018;0;2550;1
130;150;0;0.014;0;3300;1
132;170;0.001;0.0402;0;95;1
141;174;0.0024;0.0603;0;75;1
142;175;0.0024;0.0498;-0.087;40;1
143;144;0;0.0833;0;2040;1
143;148;0.0013;0.0371;0;135;1
145;180;0.0005;0.0182;0;180;1
151;170;0.001;0.0392;0;80;1
153;183;0.0027;0.0639;0;20;1
155;156;0.0008;0.0256;0;55;1
159;117;0;0.016;0;580;1
160;124;0.0012;0.0396;0;205;1
163;137;0.0013;0.0384;-0.057;610;1
164;155;0.0009;0.0231;-0.033;50;1
182;139;0.0003;0.0131;0;700;1
189;210;0;0.252;0;60;1
193;196;0;0.237;0;75;1
195;212;0.0008;0.0366;0;20;1
200;248;0;0.22;0;110;1
201;69;0;0.098;0;35;1
202;211;0;0.128;0;5;1
204;2040;0.02;0.204;-0.012;95;1
209;198;0.026;0.211;0;70;1
211;212;0.003;0.0122;0;540;1
218;219;0.001;0.0354;-0.01;230;1
223;224;0.0012;0.0195;-0.364;460;1
229;230;0.001;0.0332;0;435;1
234;236;0.0005;0.016;0;680;1
238;239;0.0005;0.016;0;710;1
196;2040;0.0001;0.02;0;100;1
119;1190;0.001;0.023;0;40;1
120;1200;0;0.023;0;45;1
7002;2;0.001;0.0146;0;780;1
7003;3;0;0.01054;0;1395;1
7061;61;0;0.0238;0;515;1
7062;62;0;0.03214;0;465;1
7166;166;0;0.0154;0;635;1
7024;24;0;0.0289;0;475;1
7001;1;0;0.01953;0;535;1
7130;130;0;0.0193;0;1435;1
7011;11;0;0.01923;0;295;1
7023;23;0;0.023;0;205;1
7049;49;0;0.0124;0;20090;0
7139;139;0;0.0167;0;865;1
7012;12;0;0.0312;0;475;1
7017;17;0;0.01654;0;405;1
7039;39;0;0.03159;0;640;1
7057;57;0;0.05347;0;205;1
7044;44;0;0.18181;0;45;1
7055;55;0;0.19607;0;55;1
7071;71;0;0.06896;0;70;1
7071;71;0;0.06896;0;65;1
